ad_id,timestamp,clicks,views,cost
10207,2023-08-23T13:27:00Z,79,99,279.77
10208,2023-08-23T13:28:00Z,4,55,17.43
10209,2023-08-23T13:29:00Z,4,35,19.29
10210,2023-08-23T13:30:00Z,47,80,63.36
10211,2023-08-23T13:31:00Z,28,38,65.95
10212,2023-08-23T13:32:00Z,69,72,222.96
10213,2023-08-23T13:33:00Z,10,14,28.97
10214,2023-08-23T13:34:00Z,4,19,5.37
10215,2023-08-23T13:35:00Z,62,89,69.03
10216,2023-08-23T13:36:00Z,18,35,14.78
10217,2023-08-23T13:37:00Z,0,19,0.0
10218,2023-08-23T13:38:00Z,2,86,3.22
10219,2023-08-23T13:39:00Z,8,72,27.71
10220,2023-08-23T13:40:00Z,92,93,369.65
10221,2023-08-23T13:41:00Z,16,38,59.81
10222,2023-08-23T13:42:00Z,10,14,12.52
10223,2023-08-23T13:43:00Z,17,18,44.13
10224,2023-08-23T13:44:00Z,4,10,4.32
10225,2023-08-23T13:45:00Z,33,41,72.3
10226,2023-08-23T13:46:00Z,6,49,23.93
10227,2023-08-23T13:47:00Z,43,69,170.43
10228,2023-08-23T13:48:00Z,50,55,82.7
10229,2023-08-23T13:49:00Z,8,89,10.79
10230,2023-08-23T13:50:00Z,16,78,27.5
10231,2023-08-23T13:51:00Z,14,52,62.41
10232,2023-08-23T13:52:00Z,17,86,25.21
10233,2023-08-23T13:53:00Z,4,36,14.67
10234,2023-08-23T13:54:00Z,84,90,234.85
10235,2023-08-23T13:55:00Z,61,97,100.32
10236,2023-08-23T13:56:00Z,18,24,11.96
10237,2023-08-23T13:57:00Z,23,73,68.82
10238,2023-08-23T13:58:00Z,44,91,159.88
10239,2023-08-23T13:59:00Z,13,21,56.7
10240,2023-08-23T14:00:00Z,13,100,36.29
10241,2023-08-23T14:01:00Z,2,5,8.46
10242,2023-08-23T14:02:00Z,4,17,9.54
10243,2023-08-23T14:03:00Z,78,81,363.28
10244,2023-08-23T14:04:00Z,50,52,37.8
10245,2023-08-23T14:05:00Z,4,11,19.27
10246,2023-08-23T14:06:00Z,12,17,28.1
10247,2023-08-23T14:07:00Z,16,25,65.92
10248,2023-08-23T14:08:00Z,47,80,78.48
10249,2023-08-23T14:09:00Z,1,22,3.16
10250,2023-08-23T14:10:00Z,72,100,316.78
10251,2023-08-23T14:11:00Z,27,42,42.89
10252,2023-08-23T14:12:00Z,28,80,112.28
10253,2023-08-23T14:13:00Z,44,53,149.12
10254,2023-08-23T14:14:00Z,52,91,74.8
10255,2023-08-23T14:15:00Z,58,71,254.85
10256,2023-08-23T14:16:00Z,21,25,46.18
10257,2023-08-23T14:17:00Z,48,65,173.61
10258,2023-08-23T14:18:00Z,11,43,53.63
10259,2023-08-23T14:19:00Z,6,6,5.24
10260,2023-08-23T14:20:00Z,15,65,43.14
10261,2023-08-23T14:21:00Z,24,78,95.9
10262,2023-08-23T14:22:00Z,2,6,1.69
10263,2023-08-23T14:23:00Z,72,75,85.44
10264,2023-08-23T14:24:00Z,47,96,68.42
10265,2023-08-23T14:25:00Z,43,55,95.06
10266,2023-08-23T14:26:00Z,37,43,111.75
10267,2023-08-23T14:27:00Z,16,36,23.39
10268,2023-08-23T14:28:00Z,12,13,12.1
10269,2023-08-23T14:29:00Z,13,35,31.55
10270,2023-08-23T14:30:00Z,31,70,148.91
10271,2023-08-23T14:31:00Z,23,62,77.56
10272,2023-08-23T14:32:00Z,31,98,86.07
10273,2023-08-23T14:33:00Z,11,11,21.44
10274,2023-08-23T14:34:00Z,57,77,69.08
10275,2023-08-23T14:35:00Z,58,58,98.87
10276,2023-08-23T14:36:00Z,17,24,65.2
10277,2023-08-23T14:37:00Z,2,11,9.72
10278,2023-08-23T14:38:00Z,15,55,74.5
10279,2023-08-23T14:39:00Z,47,91,186.28
10280,2023-08-23T14:40:00Z,25,28,16.19
10281,2023-08-23T14:41:00Z,24,69,55.78
10282,2023-08-23T14:42:00Z,2,65,4.17
10283,2023-08-23T14:43:00Z,8,53,30.67
10284,2023-08-23T14:44:00Z,53,73,67.08
10285,2023-08-23T14:45:00Z,11,81,20.78
10286,2023-08-23T14:46:00Z,6,23,6.33
10287,2023-08-23T14:47:00Z,87,94,392.32
10288,2023-08-23T14:48:00Z,21,63,51.03
10289,2023-08-23T14:49:00Z,34,97,160.5
10290,2023-08-23T14:50:00Z,6,40,16.78
10291,2023-08-23T14:51:00Z,96,98,334.33
10292,2023-08-23T14:52:00Z,28,81,116.07
10293,2023-08-23T14:53:00Z,1,5,4.07
10294,2023-08-23T14:54:00Z,19,56,87.34
10295,2023-08-23T14:55:00Z,32,55,144.54
10296,2023-08-23T14:56:00Z,77,100,301.79
10297,2023-08-23T14:57:00Z,2,49,5.3
10298,2023-08-23T14:58:00Z,36,40,98.99
10299,2023-08-23T14:59:00Z,78,97,240.73
10300,2023-08-23T15:00:00Z,19,49,26.91
10301,2023-08-23T15:01:00Z,50,76,217.27
10302,2023-08-23T15:02:00Z,49,49,202.21
10303,2023-08-23T15:03:00Z,25,87,80.33
10304,2023-08-23T15:04:00Z,37,90,29.11
10305,2023-08-23T15:05:00Z,10,18,44.4
10306,2023-08-23T15:06:00Z,46,71,63.57
10307,2023-08-23T15:07:00Z,49,60,129.23
10308,2023-08-23T15:08:00Z,24,36,109.21
10309,2023-08-23T15:09:00Z,26,52,88.0
10310,2023-08-23T15:10:00Z,77,93,285.32
10311,2023-08-23T15:11:00Z,20,22,66.72
10312,2023-08-23T15:12:00Z,41,48,153.05
10313,2023-08-23T15:13:00Z,14,15,61.12
10314,2023-08-23T15:14:00Z,10,10,39.99
10315,2023-08-23T15:15:00Z,3,22,3.13
10316,2023-08-23T15:16:00Z,8,47,7.66
10317,2023-08-23T15:17:00Z,8,20,26.81
10318,2023-08-23T15:18:00Z,45,75,104.36
10319,2023-08-23T15:19:00Z,26,33,66.6
10320,2023-08-23T15:20:00Z,21,32,83.09
10321,2023-08-23T15:21:00Z,15,36,26.18
10322,2023-08-23T15:22:00Z,37,43,41.43
10323,2023-08-23T15:23:00Z,9,27,32.82
10324,2023-08-23T15:24:00Z,10,17,16.88
10325,2023-08-23T15:25:00Z,33,46,64.45
10326,2023-08-23T15:26:00Z,14,22,20.59
10327,2023-08-23T15:27:00Z,47,90,193.31
10328,2023-08-23T15:28:00Z,24,76,92.31
10329,2023-08-23T15:29:00Z,77,94,310.34
10330,2023-08-23T15:30:00Z,73,78,216.51
10331,2023-08-23T15:31:00Z,56,73,135.21
10332,2023-08-23T15:32:00Z,20,22,75.45
10333,2023-08-23T15:33:00Z,38,63,132.46
10334,2023-08-23T15:34:00Z,7,65,32.9
10335,2023-08-23T15:35:00Z,1,6,4.41
10336,2023-08-23T15:36:00Z,1,23,4.42
10337,2023-08-23T15:37:00Z,40,89,136.12
10338,2023-08-23T15:38:00Z,48,90,121.4
10339,2023-08-23T15:39:00Z,20,50,53.67
10340,2023-08-23T15:40:00Z,21,36,104.73
10341,2023-08-23T15:41:00Z,5,25,11.45
10342,2023-08-23T15:42:00Z,38,97,97.4
10343,2023-08-23T15:43:00Z,1,10,3.17
10344,2023-08-23T15:44:00Z,0,40,0.0
10345,2023-08-23T15:45:00Z,55,56,56.7
10346,2023-08-23T15:46:00Z,3,14,4.33
10347,2023-08-23T15:47:00Z,7,14,13.12
10348,2023-08-23T15:48:00Z,13,31,59.62
10349,2023-08-23T15:49:00Z,10,10,48.65
10350,2023-08-23T15:50:00Z,76,82,110.44
10351,2023-08-23T15:51:00Z,19,41,59.78
10352,2023-08-23T15:52:00Z,69,82,130.22
10353,2023-08-23T15:53:00Z,28,47,55.63
10354,2023-08-23T15:54:00Z,35,69,99.09
10355,2023-08-23T15:55:00Z,16,17,65.86
10356,2023-08-23T15:56:00Z,26,66,86.87
10357,2023-08-23T15:57:00Z,76,85,341.15
10358,2023-08-23T15:58:00Z,3,67,8.88
10359,2023-08-23T15:59:00Z,18,52,86.73
10360,2023-08-23T16:00:00Z,14,89,32.98
10361,2023-08-23T16:01:00Z,8,92,12.4
10362,2023-08-23T16:02:00Z,9,97,36.96
10363,2023-08-23T16:03:00Z,1,77,2.82
10364,2023-08-23T16:04:00Z,23,31,54.09
10365,2023-08-23T16:05:00Z,35,52,21.25
10366,2023-08-23T16:06:00Z,39,40,193.81
10367,2023-08-23T16:07:00Z,1,23,3.54
10368,2023-08-23T16:08:00Z,40,59,68.89
10369,2023-08-23T16:09:00Z,3,10,5.64
10370,2023-08-23T16:10:00Z,13,27,32.29
10371,2023-08-23T16:11:00Z,82,96,267.37
10372,2023-08-23T16:12:00Z,14,30,15.26
10373,2023-08-23T16:13:00Z,80,80,243.51
10374,2023-08-23T16:14:00Z,26,59,52.86
10375,2023-08-23T16:15:00Z,5,50,7.16
10376,2023-08-23T16:16:00Z,20,28,42.02
10377,2023-08-23T16:17:00Z,5,32,13.63
10378,2023-08-23T16:18:00Z,47,97,162.01
10379,2023-08-23T16:19:00Z,57,88,194.78
10380,2023-08-23T16:20:00Z,2,38,3.99
10381,2023-08-23T16:21:00Z,17,37,30.35
10382,2023-08-23T16:22:00Z,22,99,71.87
10383,2023-08-23T16:23:00Z,81,92,308.58
10384,2023-08-23T16:24:00Z,24,26,22.79
10385,2023-08-23T16:25:00Z,5,13,7.93
10386,2023-08-23T16:26:00Z,79,97,244.75
10387,2023-08-23T16:27:00Z,12,19,18.81
10388,2023-08-23T16:28:00Z,11,15,41.75
10389,2023-08-23T16:29:00Z,8,19,24.54
10390,2023-08-23T16:30:00Z,11,44,35.99
10391,2023-08-23T16:31:00Z,14,22,45.81
10392,2023-08-23T16:32:00Z,5,60,20.49
10393,2023-08-23T16:33:00Z,2,42,7.5
10394,2023-08-23T16:34:00Z,9,31,16.95
10395,2023-08-23T16:35:00Z,1,74,3.16
10396,2023-08-23T16:36:00Z,38,45,143.92
10397,2023-08-23T16:37:00Z,78,96,279.16
10398,2023-08-23T16:38:00Z,20,53,78.77
10399,2023-08-23T16:39:00Z,8,14,33.27
10400,2023-08-23T16:40:00Z,39,90,98.17
10401,2023-08-23T16:41:00Z,40,75,102.38
10402,2023-08-23T16:42:00Z,26,43,26.76
10403,2023-08-23T16:43:00Z,65,66,268.31
10404,2023-08-23T16:44:00Z,15,27,58.35
10405,2023-08-23T16:45:00Z,27,62,78.16
10406,2023-08-23T16:46:00Z,20,39,73.91
10407,2023-08-23T16:47:00Z,9,57,11.92
10408,2023-08-23T16:48:00Z,3,5,5.51
10409,2023-08-23T16:49:00Z,11,40,30.19
10410,2023-08-23T16:50:00Z,3,20,12.1
10411,2023-08-23T16:51:00Z,0,98,0.0
10412,2023-08-23T16:52:00Z,8,13,7.35
10413,2023-08-23T16:53:00Z,87,100,123.13
10414,2023-08-23T16:54:00Z,49,97,48.56
10415,2023-08-23T16:55:00Z,22,65,19.27
10416,2023-08-23T16:56:00Z,9,29,26.99
10417,2023-08-23T16:57:00Z,41,53,134.51
10418,2023-08-23T16:58:00Z,19,85,53.07
10419,2023-08-23T16:59:00Z,5,14,22.55
10420,2023-08-23T17:00:00Z,94,94,236.9
10421,2023-08-23T17:01:00Z,5,11,23.95
10422,2023-08-23T17:02:00Z,23,30,52.03
10423,2023-08-23T17:03:00Z,18,75,55.28
10424,2023-08-23T17:04:00Z,40,47,73.12
10425,2023-08-23T17:05:00Z,8,42,8.39
10426,2023-08-23T17:06:00Z,81,86,220.2
10427,2023-08-23T17:07:00Z,36,77,171.85
10428,2023-08-23T17:08:00Z,60,95,253.64
10429,2023-08-23T17:09:00Z,26,40,90.08
10430,2023-08-23T17:10:00Z,49,51,206.66
10431,2023-08-23T17:11:00Z,27,74,129.6
10432,2023-08-23T17:12:00Z,2,10,3.79
10433,2023-08-23T17:13:00Z,11,47,19.75
10434,2023-08-23T17:14:00Z,23,64,63.18
10435,2023-08-23T17:15:00Z,0,9,0.0
10436,2023-08-23T17:16:00Z,15,90,72.76
10437,2023-08-23T17:17:00Z,64,91,105.33
10438,2023-08-23T17:18:00Z,9,60,10.02
10439,2023-08-23T17:19:00Z,42,60,26.07
10440,2023-08-23T17:20:00Z,10,25,44.39
10441,2023-08-23T17:21:00Z,10,34,46.59
10442,2023-08-23T17:22:00Z,21,24,30.24
10443,2023-08-23T17:23:00Z,32,88,71.79
10444,2023-08-23T17:24:00Z,68,72,263.17
10445,2023-08-23T17:25:00Z,52,74,138.04
10446,2023-08-23T17:26:00Z,37,82,84.09
10447,2023-08-23T17:27:00Z,6,58,3.82
10448,2023-08-23T17:28:00Z,7,17,14.6
10449,2023-08-23T17:29:00Z,53,75,146.67
10450,2023-08-23T17:30:00Z,9,24,35.45
10451,2023-08-23T17:31:00Z,4,6,16.86
10452,2023-08-23T17:32:00Z,46,80,223.13
10453,2023-08-23T17:33:00Z,61,70,88.88
10454,2023-08-23T17:34:00Z,71,75,309.59
10455,2023-08-23T17:35:00Z,38,53,166.65
10456,2023-08-23T17:36:00Z,32,42,41.15
10457,2023-08-23T17:37:00Z,33,64,65.39
10458,2023-08-23T17:38:00Z,10,18,38.8
10459,2023-08-23T17:39:00Z,0,12,0.0
10460,2023-08-23T17:40:00Z,0,6,0.0
10461,2023-08-23T17:41:00Z,21,86,93.6
10462,2023-08-23T17:42:00Z,7,18,24.75
10463,2023-08-23T17:43:00Z,9,17,11.8
10464,2023-08-23T17:44:00Z,10,16,8.94
10465,2023-08-23T17:45:00Z,7,48,4.56
10466,2023-08-23T17:46:00Z,2,11,8.59
10467,2023-08-23T17:47:00Z,3,7,3.46
10468,2023-08-23T17:48:00Z,19,34,19.22
10469,2023-08-23T17:49:00Z,37,54,54.4
10470,2023-08-23T17:50:00Z,4,31,16.82
10471,2023-08-23T17:51:00Z,21,91,35.02
10472,2023-08-23T17:52:00Z,42,88,172.74
10473,2023-08-23T17:53:00Z,21,86,43.71
10474,2023-08-23T17:54:00Z,2,65,5.74
10475,2023-08-23T17:55:00Z,4,58,16.72
10476,2023-08-23T17:56:00Z,11,17,44.92
10477,2023-08-23T17:57:00Z,23,26,103.06
10478,2023-08-23T17:58:00Z,62,65,246.52
10479,2023-08-23T17:59:00Z,22,23,89.0
10480,2023-08-23T18:00:00Z,15,95,65.78
10481,2023-08-23T18:01:00Z,5,49,21.78
10482,2023-08-23T18:02:00Z,16,44,21.15
10483,2023-08-23T18:03:00Z,14,30,17.76
10484,2023-08-23T18:04:00Z,45,65,52.86
10485,2023-08-23T18:05:00Z,9,29,41.12
10486,2023-08-23T18:06:00Z,5,56,14.84
10487,2023-08-23T18:07:00Z,62,73,257.13
10488,2023-08-23T18:08:00Z,80,89,394.37
10489,2023-08-23T18:09:00Z,36,44,146.19
10490,2023-08-23T18:10:00Z,7,25,12.2
10491,2023-08-23T18:11:00Z,15,87,31.1
10492,2023-08-23T18:12:00Z,8,43,8.68
10493,2023-08-23T18:13:00Z,16,17,40.07
10494,2023-08-23T18:14:00Z,9,18,24.87
10495,2023-08-23T18:15:00Z,27,67,35.61
10496,2023-08-23T18:16:00Z,18,21,22.91
10497,2023-08-23T18:17:00Z,54,55,187.61
10498,2023-08-23T18:18:00Z,4,12,10.33
10499,2023-08-23T18:19:00Z,74,81,129.01
10500,2023-08-23T18:20:00Z,32,49,42.21
10501,2023-08-23T18:21:00Z,24,40,46.49
10502,2023-08-23T18:22:00Z,5,39,5.28
10503,2023-08-23T18:23:00Z,2,23,8.31
10504,2023-08-23T18:24:00Z,8,16,32.97
10505,2023-08-23T18:25:00Z,4,83,3.72
10506,2023-08-23T18:26:00Z,8,19,22.63
10507,2023-08-23T18:27:00Z,73,87,338.14
10508,2023-08-23T18:28:00Z,17,54,65.36
10509,2023-08-23T18:29:00Z,8,9,24.84
10510,2023-08-23T18:30:00Z,5,73,14.85
10511,2023-08-23T18:31:00Z,28,51,93.71
10512,2023-08-23T18:32:00Z,32,92,95.92
10513,2023-08-23T18:33:00Z,2,14,2.16
10514,2023-08-23T18:34:00Z,44,90,32.07
10515,2023-08-23T18:35:00Z,29,57,140.46
10516,2023-08-23T18:36:00Z,11,46,20.93
10517,2023-08-23T18:37:00Z,62,68,108.25
10518,2023-08-23T18:38:00Z,65,72,38.67
10519,2023-08-23T18:39:00Z,26,58,82.93
10520,2023-08-23T18:40:00Z,33,59,36.8
10521,2023-08-23T18:41:00Z,21,25,32.74
10522,2023-08-23T18:42:00Z,87,91,43.77
10523,2023-08-23T18:43:00Z,63,66,154.64
10524,2023-08-23T18:44:00Z,21,47,71.9
10525,2023-08-23T18:45:00Z,30,44,20.21
10526,2023-08-23T18:46:00Z,2,93,9.04
10527,2023-08-23T18:47:00Z,4,14,18.42
10528,2023-08-23T18:48:00Z,24,84,117.37
10529,2023-08-23T18:49:00Z,41,78,96.31
10530,2023-08-23T18:50:00Z,28,47,102.18
10531,2023-08-23T18:51:00Z,58,94,228.48
10532,2023-08-23T18:52:00Z,19,40,16.2
10533,2023-08-23T18:53:00Z,34,39,141.15
10534,2023-08-23T18:54:00Z,17,41,12.68
10535,2023-08-23T18:55:00Z,51,91,203.76
10536,2023-08-23T18:56:00Z,28,31,48.82
